episode,resultado
138,choque
264,choque
271,choque
325,choque
409,choque
457,choque
657,timeout
682,choque
739,choque
895,choque
945,choque
1020,choque
1090,choque
1159,choque
1268,choque
1310,choque
1335,choque
1492,choque
1566,choque
1648,choque
1747,choque
1906,choque
1974,choque
2174,timeout
2374,timeout
2432,llegada
2562,choque
2720,choque
2920,timeout
3061,choque
3100,choque
3300,timeout
3369,llegada
3408,choque
3462,choque
3521,choque
3721,timeout
3921,timeout
3959,choque
4012,choque
4212,timeout
4412,timeout
4426,llegada
4582,choque
4595,choque
4795,timeout
4945,llegada
5145,timeout
5345,timeout
5403,llegada
5603,timeout
5803,timeout
6003,timeout
6203,timeout
6403,timeout
6603,timeout
6803,timeout
7003,timeout
7102,llegada
7302,timeout
7502,timeout
7702,timeout
7799,llegada
7999,timeout
8199,timeout
8399,timeout
8599,timeout
8799,timeout
8999,timeout
9199,timeout
9399,timeout
9599,timeout
9799,timeout
9999,timeout
10199,timeout
10370,llegada
10570,timeout
10770,timeout
10970,timeout
11170,timeout
11370,timeout
11570,timeout
11626,llegada
11826,timeout
12026,timeout
12226,timeout
12426,timeout
12626,timeout
12826,timeout
13026,timeout
13226,timeout
13247,llegada
13447,timeout
13647,timeout
13847,timeout
14047,timeout
14247,timeout
14447,timeout
14585,llegada
14785,timeout
14985,timeout
15185,timeout
15301,llegada
15461,llegada
15661,timeout
15861,timeout
16061,timeout
16261,timeout
16461,timeout
16661,timeout
16861,timeout
17061,timeout
17261,timeout
17354,llegada
17554,timeout
17754,timeout
17954,timeout
18154,timeout
18354,timeout
18554,timeout
18754,timeout
18801,llegada
19001,timeout
19011,llegada
19211,timeout
19261,llegada
19461,timeout
19661,timeout
19861,timeout
20061,timeout
20261,timeout
20461,timeout
20661,timeout
20861,timeout
21061,timeout
21261,timeout
21461,timeout
21661,timeout
21861,timeout
21980,llegada
22067,llegada
22250,llegada
22450,timeout
22650,timeout
22850,timeout
23050,timeout
23250,timeout
23450,timeout
23650,timeout
23850,timeout
23886,llegada
24086,timeout
24238,llegada
24438,timeout
24638,timeout
24838,timeout
25038,timeout
25238,timeout
25272,llegada
25472,timeout
25672,timeout
25772,llegada
25871,llegada
25939,llegada
26139,timeout
26339,timeout
26384,llegada
26584,timeout
26680,llegada
26718,llegada
26720,llegada
26759,llegada
26825,llegada
26869,llegada
27069,timeout
27084,llegada
27284,timeout
27484,timeout
27581,llegada
27630,llegada
27830,timeout
28030,timeout
28230,timeout
28430,timeout
28630,timeout
28830,timeout
28966,llegada
28967,llegada
29036,llegada
29078,llegada
29278,timeout
29478,timeout
29678,timeout
29811,llegada
30011,timeout
30211,timeout
30338,llegada
30538,timeout
30628,llegada
30804,llegada
31004,timeout
31204,timeout
31312,llegada
31424,llegada
31582,llegada
31770,llegada
31970,timeout
32170,timeout
32260,choque
32330,llegada
32406,llegada
32606,timeout
32806,timeout
33006,timeout
33206,timeout
33239,llegada
33389,llegada
33439,llegada
33639,timeout
33832,llegada
33944,llegada
34144,timeout
34344,timeout
34544,timeout
34643,llegada
34843,timeout
35013,choque
35146,llegada
35346,timeout
35546,timeout
35620,llegada
35729,llegada
35837,choque
35933,llegada
36133,timeout
36333,timeout
36414,llegada
36469,llegada
36516,llegada
36704,llegada
36760,llegada
36960,timeout
37160,timeout
37360,timeout
37541,llegada
37741,timeout
37941,timeout
38047,llegada
38247,timeout
38352,llegada
38552,timeout
38639,llegada
38649,llegada
38794,llegada
38883,llegada
39083,timeout
39093,llegada
39177,llegada
39377,timeout
39444,llegada
39552,llegada
39669,llegada
39869,timeout
39975,llegada
40058,llegada
40214,llegada
40291,llegada
40491,timeout
40691,timeout
40869,llegada
40910,llegada
41101,llegada
41266,llegada
41299,llegada
41499,timeout
41601,llegada
41797,llegada
41895,llegada
42095,timeout
42295,timeout
42320,choque
42519,choque
42702,llegada
