episode,resultado
79,llegada
84,choque
143,choque
243,timeout
292,choque
333,choque
372,choque
466,choque
489,choque
537,choque
547,choque
647,timeout
662,choque
762,timeout
825,choque
881,choque
927,choque
979,choque
1079,timeout
1179,timeout
1226,choque
1326,timeout
1345,choque
1394,choque
1402,choque
1494,choque
1512,choque
1520,choque
1536,choque
1636,timeout
1663,choque
1763,timeout
1778,choque
1810,choque
1842,choque
1854,choque
1889,choque
1989,timeout
1996,choque
2096,timeout
2125,choque
2144,choque
2237,llegada
2276,llegada
2307,choque
2407,timeout
2507,timeout
2607,timeout
2663,choque
2668,choque
2768,timeout
2868,timeout
2968,timeout
3068,timeout
3168,timeout
3268,timeout
3368,timeout
3468,timeout
3527,choque
3542,choque
3554,choque
3563,choque
3663,timeout
3728,choque
3779,choque
3812,llegada
3858,choque
3958,timeout
4038,choque
4073,llegada
4173,timeout
4205,llegada
4305,timeout
4405,choque
4505,timeout
4605,timeout
4705,timeout
4805,timeout
4905,timeout
5005,timeout
5105,timeout
5205,timeout
5305,timeout
5405,timeout
5505,timeout
5510,llegada
5585,choque
5620,choque
5720,timeout
5766,llegada
5772,choque
5872,timeout
5972,timeout
6072,timeout
6172,timeout
6272,timeout
6372,timeout
6472,timeout
6572,timeout
6672,timeout
6766,llegada
6866,timeout
6966,timeout
7002,llegada
7102,timeout
7202,timeout
7302,timeout
7353,llegada
7453,timeout
7553,timeout
7653,timeout
7723,choque
7823,timeout
7923,timeout
8023,timeout
8123,timeout
8223,timeout
8323,timeout
8423,timeout
8523,timeout
8533,llegada
8633,timeout
8733,timeout
8833,timeout
8933,timeout
9033,timeout
9133,timeout
9233,timeout
9304,llegada
9404,timeout
9504,timeout
9540,llegada
9640,timeout
9740,timeout
9840,timeout
9940,timeout
10040,timeout
10058,llegada
10158,timeout
10258,timeout
10358,timeout
10458,timeout
10558,timeout
10653,llegada
10665,choque
10765,timeout
10865,timeout
10965,timeout
11065,timeout
11109,llegada
11209,timeout
11309,timeout
11318,llegada
11391,llegada
11491,timeout
11591,timeout
11691,timeout
11718,llegada
11818,timeout
11834,llegada
11934,timeout
12034,timeout
12134,timeout
12234,timeout
12334,timeout
12434,timeout
12534,timeout
12634,timeout
12734,timeout
12834,timeout
12934,timeout
13034,timeout
13093,llegada
13193,timeout
13260,llegada
13360,timeout
13440,llegada
13484,llegada
13584,timeout
13684,timeout
13784,timeout
13822,llegada
13922,timeout
14022,timeout
14122,timeout
14222,timeout
14295,llegada
14395,timeout
14495,timeout
14595,timeout
14695,timeout
14795,timeout
14871,llegada
14971,timeout
15071,timeout
15121,llegada
15221,timeout
15317,llegada
15376,llegada
15403,llegada
15503,timeout
15603,timeout
15703,timeout
15803,timeout
15837,llegada
15888,llegada
15907,llegada
15925,llegada
16025,timeout
16125,timeout
16225,timeout
16325,timeout
16425,timeout
16490,llegada
16538,llegada
16638,timeout
16738,timeout
16838,timeout
16938,timeout
17038,timeout
17138,timeout
17238,timeout
17338,timeout
17438,timeout
17493,llegada
17511,llegada
17611,timeout
17711,timeout
17811,timeout
17835,llegada
17935,timeout
18035,timeout
18135,timeout
18235,timeout
18321,llegada
18421,timeout
18521,timeout
18605,llegada
18705,timeout
18742,choque
18842,timeout
18942,timeout
19042,timeout
19142,timeout
19242,timeout
19342,timeout
19442,timeout
19542,timeout
19642,timeout
19674,llegada
19774,timeout
19810,llegada
19910,timeout
20010,timeout
20110,timeout
20210,timeout
20287,llegada
20288,llegada
20366,llegada
20370,llegada
20413,llegada
20505,llegada
20515,llegada
20615,timeout
20715,timeout
20815,timeout
20915,timeout
21015,timeout
21115,timeout
21131,llegada
21231,timeout
21247,llegada
21311,llegada
21411,timeout
21480,llegada
21580,timeout
21680,timeout
21698,llegada
21798,timeout
21873,llegada
21891,llegada
21954,choque
22054,timeout
22154,timeout
22254,timeout
22354,timeout
22423,llegada
22455,llegada
22555,timeout
22655,timeout
22680,choque
22742,llegada
22813,choque
22890,llegada
22990,timeout
23090,timeout
23125,llegada
23225,timeout
23325,timeout
23393,llegada
23493,timeout
23577,llegada
23677,timeout
23743,llegada
23843,timeout
23878,llegada
23915,llegada
23933,llegada
24033,timeout
24133,timeout
24209,llegada
24309,timeout
24409,timeout
24477,llegada
24577,timeout
24677,timeout
24777,timeout
24864,llegada
24964,timeout
25064,timeout
25094,llegada
25194,timeout
25266,llegada
25366,timeout
25388,llegada
25450,llegada
25550,timeout
25650,timeout
25750,timeout
25850,timeout
25897,llegada
25997,timeout
26019,llegada
26072,llegada
26154,choque
26254,timeout
26354,timeout
26454,timeout
26492,choque
26592,timeout
26692,timeout
26792,timeout
26892,timeout
26992,timeout
27092,timeout
27192,timeout
27239,llegada
27339,timeout
27415,llegada
27515,timeout
27568,llegada
27607,llegada
27707,timeout
27757,llegada
27829,llegada
27929,timeout
28029,timeout
28129,timeout
28229,timeout
28329,timeout
28402,llegada
28502,timeout
28512,llegada
28612,timeout
28712,timeout
28726,llegada
28826,timeout
28867,llegada
28967,timeout
29067,timeout
29167,timeout
29243,llegada
29343,timeout
29409,llegada
29461,llegada
29498,llegada
29518,llegada
29618,timeout
29679,llegada
29700,llegada
29798,llegada
29815,llegada
29915,timeout
29968,llegada
30042,llegada
30142,timeout
30242,timeout
30342,timeout
30442,timeout
30542,timeout
30642,timeout
30742,timeout
30764,llegada
30803,choque
30895,llegada
30968,llegada
31020,llegada
31120,timeout
31220,timeout
31266,llegada
31366,timeout
31466,timeout
31566,timeout
31666,timeout
31766,timeout
31866,timeout
31966,timeout
32029,llegada
32097,choque
32145,llegada
32245,timeout
