#{"t_start": 1749222422.0327325, "env_id": "None"}
r,l,t
0.0,200,154.324232
0.0,200,156.809991
0.0,200,159.289613
0.0,200,161.906135
0.0,200,164.369743
0.0,200,312.562214
0.0,200,315.155525
0.0,200,317.670132
0.0,200,320.153217
0.0,200,322.608485
0.0,200,473.347742
0.0,200,475.892406
0.0,200,478.42045
0.0,200,480.929193
100.0,17,481.147486
0.0,200,635.480415
0.0,200,638.024394
100.0,54,638.716191
0.0,200,641.246945
100.0,20,641.499047
0.0,200,799.18664
0.0,200,802.288198
100.0,24,802.617716
100.0,17,802.846459
0.0,200,805.821705
100.0,18,962.487807
0.0,200,965.164474
0.0,200,967.746281
0.0,200,970.269957
0.0,200,972.833484
100.0,28,1132.075328
100.0,24,1132.389369
100.0,48,1133.01798
0.0,200,1135.64142
100.0,37,1136.119457
100.0,34,1297.826179
100.0,10,1297.965854
100.0,101,1299.301092
100.0,20,1299.562939
0.0,200,1302.128253
100.0,30,1465.347267
100.0,52,1466.052066
100.0,37,1466.582663
100.0,35,1467.043278
100.0,30,1467.442428
100.0,19,1634.472539
100.0,43,1635.026801
100.0,76,1636.035505
100.0,49,1636.675498
100.0,90,1637.888956
100.0,26,1806.723231
100.0,35,1807.191913
100.0,44,1807.777765
100.0,33,1808.234267
100.0,29,1808.614407
100.0,49,1983.592618
100.0,36,1984.225806
100.0,31,1984.795319
100.0,46,1985.62129
100.0,39,1986.313338
100.0,33,2169.567944
100.0,17,2169.846472
100.0,44,2170.59014
100.0,15,2170.855065
100.0,15,2171.11014
100.0,46,2356.288519
100.0,23,2356.679574
100.0,25,2357.111077
100.0,37,2357.777483
100.0,32,2358.369921
100.0,36,2541.700001
100.0,16,2541.991251
100.0,30,2542.519155
100.0,14,2542.757067
100.0,78,2544.130151
,173.355646
0.0,200,176.095221
0.0,200,178.81003
0.0,200,181.535259
0.0,200,184.251095
0.0,200,187.13806
100.0,56,187.910254
0.0,200,190.635247
0.0,200,193.378123
0.0,200,196.094999
0.0,200,200.014777
0.0,200,202.756556
0.0,200,205.471938
0.0,200,208.194665
0.0,200,211.03057
100.0,21,211.320616
0.0,200,214.075392
0.0,200,216.78826
0.0,200,219.508844
0.0,200,222.214249
0.0,200,224.950513
0.0,200,228.883117
100.0,138,230.769448
0.0,200,233.66048
0.0,200,236.389677
0.0,200,239.154449
100.0,116,240.791688
100.0,160,243.074647
0.0,200,245.889503
0.0,200,248.724202
0.0,200,251.540534
0.0,200,254.342909
0.0,200,258.44377
0.0,200,261.25144
0.0,200,264.12433
0.0,200,266.92614
0.0,200,269.762534
100.0,93,271.074976
0.0,200,273.921845
0.0,200,276.752617
0.0,200,279.715415
0.0,200,282.567481
0.0,200,285.396799
0.0,200,289.414278
0.0,200,292.221131
100.0,47,292.898196
0.0,200,295.719452
100.0,10,295.867426
0.0,200,298.687319
100.0,50,299.393743
0.0,200,302.245157
0.0,200,305.176135
0.0,200,308.011224
0.0,200,323.497366
0.0,200,326.268574
0.0,200,329.253027
0.0,200,333.200102
0.0,200,336.006418
0.0,200,338.808955
0.0,200,341.620646
0.0,200,344.419595
0.0,200,347.262536
0.0,200,350.228217
100.0,119,351.889813
100.0,87,353.123247
100.0,183,355.691725
0.0,200,358.482711
0.0,200,362.533728
0.0,200,365.360181
0.0,200,368.18056
0.0,200,371.025965
0.0,200,373.969152
0.0,200,376.801491
0.0,200,379.638094
100.0,36,380.151872
0.0,200,382.962011
100.0,152,385.121956
0.0,200,387.940841
0.0,200,391.924724
0.0,200,394.80107
0.0,200,397.855282
0.0,200,400.724386
100.0,34,401.210726
0.0,200,404.029137
0.0,200,406.85167
100.0,100,408.250882
100.0,99,409.643985
100.0,68,410.608282
0.0,200,413.421439
0.0,200,416.23562
100.0,45,416.870599
0.0,200,419.674147
100.0,96,422.392377
100.0,38,422.939585
100.0,2,422.976518
100.0,39,423.54214
100.0,66,424.510701
100.0,44,425.136701
0.0,200,427.967377
100.0,15,428.185382
0.0,200,431.025229
0.0,200,433.857595
100.0,97,435.216639
100.0,49,435.913725
0.0,200,438.760289
0.0,200,441.596171
0.0,200,444.421439
0.0,200,447.382156
0.0,200,450.198431
0.0,200,454.156111
100.0,136,456.093719
100.0,1,456.114383
100.0,69,457.090394
100.0,42,457.690863
0.0,200,460.50927
0.0,200,463.307603
0.0,200,466.116945
100.0,133,468.002481
0.0,200,481.335861
0.0,200,484.218207
100.0,127,486.048574
0.0,200,488.918729
100.0,90,490.218837
100.0,176,494.134151
0.0,200,497.047952
0.0,200,500.002312
100.0,108,501.650352
100.0,112,503.264637
100.0,158,505.559244
100.0,188,508.263896
0.0,200,511.190337
0.0,200,514.174839
-100.0,90,515.469145
100.0,70,516.47206
100.0,76,517.562454
0.0,200,520.438419
0.0,200,524.501744
0.0,200,527.39747
0.0,200,530.276187
100.0,33,530.752796
100.0,150,532.917796
100.0,50,533.645124
0.0,200,536.532196
100.0,193,539.427144
100.0,112,541.050626
0.0,200,543.938684
0.0,200,546.816964
0.0,200,549.719262
100.0,99,551.145328
0.0,200,555.392303
-100.0,170,557.891027
100.0,133,559.82303
0.0,200,562.837403
0.0,200,565.734653
100.0,74,566.8017
100.0,109,568.376516
-100.0,108,569.924402
100.0,96,571.304924
0.0,200,574.162777
0.0,200,577.03556
100.0,81,578.203134
100.0,55,578.991603
100.0,47,579.666065
100.0,188,582.574794
100.0,56,583.422022
0.0,200,587.475541
0.0,200,590.353051
0.0,200,593.228088
100.0,181,595.84384
0.0,200,598.744643
0.0,200,601.618008
100.0,106,603.237009
0.0,200,606.284678
100.0,105,607.829675
0.0,200,610.756447
100.0,87,612.017104
100.0,10,612.166483
100.0,145,614.265962
100.0,89,615.527949
0.0,200,619.588022
100.0,10,619.735651
100.0,84,620.919003
0.0,200,623.750437
100.0,67,624.693549
100.0,108,626.253392
