#{"t_start": 1749046409.1910346, "env_id": "None"}
r,l,t
0.0,100,174.979401
0.0,100,176.739344
0.0,100,178.468522
100.0,96,179.753802
0.0,100,181.098996
100.0,29,334.509469
100.0,29,334.939601
0.0,100,336.348117
0.0,100,337.734129
0.0,100,339.072958
0.0,100,495.940211
100.0,14,496.129998
100.0,25,496.463013
100.0,16,496.68022
100.0,22,496.978834
100.0,82,658.135325
100.0,3,658.182901
100.0,11,658.336831
100.0,28,658.716367
0.0,100,660.055036
100.0,1,822.216808
100.0,18,822.464114
0.0,100,823.781318
100.0,22,824.07746
100.0,4,824.135759
100.0,9,987.933906
100.0,18,988.180853
100.0,32,988.614313
100.0,26,988.96877
100.0,31,989.392515
100.0,9,1156.599298
100.0,16,1156.815775
100.0,5,1156.886737
100.0,15,1157.091366
100.0,21,1157.375499
100.0,23,1326.463928
100.0,19,1326.736007
100.0,12,1326.902625
100.0,16,1327.136664
100.0,25,1327.501845
100.0,32,1497.932187
0.0,100,1499.321193
100.0,5,1499.394259
100.0,9,1499.528747
100.0,31,1499.950517
100.0,18,1674.556094
100.0,6,1674.641637
100.0,25,1674.984436
100.0,18,1675.231679
100.0,21,1675.525793
100.0,19,1852.277487
100.0,14,1852.484723
100.0,26,1852.860865
100.0,30,1853.271164
100.0,7,1853.368779
100.0,9,2031.191207
100.0,16,2031.409708
100.0,5,2031.482025
100.0,20,2031.765953
100.0,27,2032.132605
100.0,18,2213.46867
100.0,12,2213.631395
100.0,22,2213.929221
100.0,2,2213.961718
100.0,4,2214.023124
100.0,23,2397.538475
100.0,12,2397.698483
100.0,9,2397.824417
100.0,8,2397.936741
100.0,10,2398.078542
100.0,16,2582.880265
100.0,11,2583.03523
100.0,23,2583.363633
100.0,10,2583.503286
100.0,17,2583.743713
,86.142389
0.0,100,87.835219
0.0,100,89.404699
100.0,1,89.426399
100.0,68,90.510221
0.0,100,92.054614
0.0,100,93.574489
100.0,60,94.498286
0.0,100,95.993722
0.0,100,97.519102
0.0,100,99.048824
-100.0,20,99.37165
100.0,50,100.197648
0.0,100,101.814499
0.0,100,103.426973
100.0,86,104.815
-100.0,29,105.308682
0.0,100,107.01329
0.0,100,108.563197
100.0,42,110.528751
0.0,100,112.086513
-100.0,13,112.279696
0.0,100,113.905491
0.0,100,115.464928
0.0,100,117.030023
0.0,100,118.576185
0.0,100,120.14581
0.0,100,121.777411
100.0,79,123.101665
0.0,100,124.695422
100.0,42,125.316121
