episode,resultado
124,choque
276,choque
476,timeout
581,llegada
695,choque
895,timeout
1057,choque
1084,choque
1231,choque
1382,choque
1505,llegada
1519,choque
1719,timeout
1823,choque
1962,choque
2014,choque
2160,choque
2339,llegada
2375,choque
2532,choque
2608,llegada
2808,timeout
2858,choque
3058,timeout
3199,choque
3399,timeout
3599,timeout
3686,choque
3760,choque
3960,timeout
3974,choque
4089,choque
4289,timeout
4340,choque
4540,timeout
4740,timeout
4849,llegada
5049,timeout
5249,timeout
5436,choque
5636,timeout
5836,timeout
6036,timeout
6236,timeout
6436,timeout
6636,timeout
6836,timeout
7036,timeout
7236,timeout
7436,timeout
7439,choque
7639,timeout
7839,timeout
8039,timeout
8239,timeout
8439,timeout
8639,timeout
8752,llegada
8952,timeout
9152,timeout
9352,timeout
9552,timeout
9626,llegada
9826,timeout
9839,choque
9902,llegada
10102,timeout
10302,timeout
10502,timeout
10702,timeout
10816,llegada
11016,timeout
11216,timeout
11416,timeout
11616,timeout
11798,llegada
11998,timeout
12198,timeout
12398,timeout
12483,llegada
12683,timeout
12686,choque
12886,timeout
13086,timeout
13166,llegada
13366,timeout
13566,timeout
13675,llegada
13769,llegada
13969,timeout
14056,llegada
14256,timeout
14391,llegada
14591,timeout
14791,timeout
14991,timeout
15191,timeout
15391,timeout
15398,llegada
15411,llegada
15611,timeout
15811,timeout
15843,llegada
16043,timeout
16207,llegada
16304,llegada
16308,choque
16508,timeout
16708,timeout
16908,timeout
17013,llegada
17033,llegada
17051,choque
17251,timeout
17316,llegada
17409,llegada
17609,timeout
17801,llegada
17802,llegada
18002,timeout
18170,llegada
18240,llegada
18440,timeout
18640,timeout
18770,llegada
18809,llegada
19009,timeout
19209,timeout
19409,timeout
19609,timeout
19809,timeout
19883,llegada
20083,timeout
20136,llegada
20264,llegada
20464,timeout
20551,llegada
20616,llegada
20816,timeout
20953,llegada
21014,llegada
21214,timeout
21313,llegada
21316,choque
21516,timeout
21517,llegada
21655,llegada
21711,llegada
21771,llegada
21881,llegada
22009,llegada
22047,choque
22247,timeout
22369,llegada
22373,choque
22531,llegada
22601,llegada
22801,timeout
23001,timeout
23139,llegada
23339,timeout
23404,llegada
23460,llegada
23551,llegada
23629,llegada
23829,timeout
24029,timeout
24090,llegada
24290,timeout
24312,llegada
24512,timeout
24580,llegada
24780,timeout
24859,llegada
24893,llegada
24924,llegada
25124,timeout
25324,timeout
25511,llegada
