episode,resultado
4,choque
20,choque
68,choque
143,timeout
218,timeout
268,choque
337,choque
353,choque
391,llegada
412,choque
487,timeout
562,timeout
605,choque
616,choque
621,llegada
658,choque
706,choque
709,llegada
784,timeout
810,choque
811,choque
836,choque
867,choque
942,timeout
994,choque
1002,llegada
1029,choque
1104,timeout
1144,choque
1145,choque
1165,choque
1175,choque
1187,choque
1201,choque
1209,choque
1231,choque
1241,choque
1259,choque
1279,choque
1328,choque
1345,choque
1348,choque
1371,choque
1446,timeout
1466,choque
1541,timeout
1547,choque
1571,choque
1623,llegada
1698,timeout
1746,llegada
1810,choque
1885,timeout
1954,choque
1986,choque
2061,timeout
2121,choque
2159,choque
2165,choque
2240,timeout
2315,timeout
2345,choque
2420,timeout
2495,timeout
2570,timeout
2645,timeout
2677,choque
2696,choque
2700,choque
2775,timeout
2850,timeout
2925,timeout
3000,timeout
3075,timeout
3150,timeout
3225,timeout
3270,choque
3279,llegada
3354,timeout
3429,timeout
3438,choque
3500,choque
3518,choque
3534,choque
3609,timeout
3684,timeout
3759,timeout
3768,choque
3833,choque
3908,timeout
3954,choque
3978,choque
4040,choque
4115,timeout
4190,timeout
4198,choque
4201,choque
4245,choque
4265,choque
4266,choque
4341,timeout
4416,timeout
4491,timeout
4566,timeout
4569,choque
4644,timeout
4719,timeout
4763,choque
4838,timeout
4913,timeout
4988,timeout
5013,choque
5088,timeout
5163,timeout
5207,llegada
5282,timeout
5357,timeout
5432,timeout
5507,timeout
5582,timeout
5657,timeout
5732,timeout
5739,choque
5814,timeout
5889,timeout
5964,timeout
6039,timeout
6114,timeout
6189,timeout
6264,timeout
6339,timeout
6353,choque
6428,timeout
6503,timeout
6508,llegada
6583,timeout
6658,timeout
6730,llegada
6732,choque
6807,timeout
6814,choque
6889,timeout
6964,timeout
7034,choque
7109,timeout
7184,timeout
7259,timeout
7262,choque
7327,choque
7402,timeout
7460,llegada
7535,timeout
7610,timeout
7685,timeout
7710,llegada
7729,choque
7804,timeout
7879,timeout
7954,timeout
8029,timeout
8104,timeout
8111,llegada
8115,choque
8190,timeout
8265,timeout
8282,choque
8357,timeout
8409,llegada
8484,timeout
8485,llegada
8560,timeout
8635,timeout
8689,choque
8764,timeout
8809,llegada
8884,timeout
8959,timeout
9034,timeout
9109,timeout
9184,timeout
9259,timeout
9334,timeout
9409,timeout
9484,timeout
9559,timeout
9634,timeout
9709,timeout
9784,timeout
9859,timeout
9934,timeout
10009,timeout
10084,timeout
10159,timeout
10234,timeout
10282,llegada
10357,timeout
10432,timeout
10464,choque
10539,timeout
10614,timeout
10689,timeout
10764,timeout
10839,timeout
10914,timeout
10989,timeout
11064,timeout
11065,llegada
11103,llegada
11178,timeout
11253,timeout
11328,timeout
11400,choque
11454,llegada
11529,timeout
11604,timeout
11679,timeout
11754,timeout
11759,choque
11834,timeout
11909,timeout
11984,timeout
12059,timeout
12134,timeout
12209,timeout
12284,timeout
12359,timeout
12434,timeout
12509,timeout
12584,timeout
12659,timeout
12734,timeout
12809,timeout
12884,timeout
12920,choque
12959,llegada
13034,timeout
13082,llegada
13157,timeout
13232,timeout
13307,timeout
13382,timeout
13457,timeout
13532,timeout
13591,llegada
13666,timeout
13741,timeout
13816,timeout
13891,timeout
13966,timeout
14041,timeout
14116,timeout
14191,timeout
14266,timeout
14281,llegada
14356,timeout
14394,llegada
14469,timeout
14544,timeout
14601,llegada
14676,timeout
14751,timeout
14778,llegada
14853,timeout
14911,llegada
14986,timeout
15061,timeout
15136,timeout
15211,timeout
15286,timeout
15361,timeout
15427,llegada
15502,timeout
15503,llegada
15578,timeout
15653,timeout
15676,llegada
15699,llegada
15743,llegada
15818,timeout
15893,timeout
15968,timeout
15998,llegada
16035,llegada
16067,llegada
16078,llegada
16153,timeout
16192,llegada
16267,timeout
16342,timeout
16417,timeout
16492,timeout
16567,timeout
16642,timeout
16652,llegada
16727,timeout
16802,timeout
16861,llegada
16936,timeout
17011,timeout
17086,timeout
17161,timeout
17236,timeout
17311,timeout
17386,timeout
17458,llegada
17533,timeout
17576,llegada
17620,llegada
17693,choque
17738,llegada
17799,llegada
17874,timeout
17913,choque
17988,timeout
18061,llegada
18116,llegada
18191,timeout
18198,llegada
18273,timeout
18348,timeout
18423,timeout
18455,llegada
18530,timeout
18605,timeout
18613,llegada
18688,timeout
18763,timeout
18838,timeout
18913,timeout
18988,timeout
19038,llegada
19113,timeout
19188,timeout
19263,timeout
19338,timeout
19354,llegada
19429,timeout
19504,timeout
19579,timeout
19654,timeout
19729,timeout
19775,llegada
19781,llegada
19856,timeout
19927,llegada
20002,timeout
20077,timeout
20152,timeout
20163,choque
20238,timeout
20313,timeout
20344,llegada
20419,timeout
20466,llegada
20541,timeout
20578,choque
20615,llegada
20674,choque
20700,llegada
20775,timeout
20850,timeout
20911,llegada
20949,llegada
20971,llegada
21046,timeout
21121,timeout
21152,llegada
21227,timeout
21302,timeout
21314,llegada
21389,timeout
21441,llegada
21501,llegada
21576,timeout
21606,llegada
21660,llegada
21735,timeout
21810,timeout
21822,llegada
21897,timeout
21972,timeout
22038,llegada
22053,llegada
22055,llegada
22130,timeout
22205,timeout
22235,llegada
22310,timeout
22385,timeout
22460,timeout
22535,timeout
22610,timeout
22685,timeout
22697,llegada
22698,llegada
22725,llegada
22789,llegada
22864,timeout
22878,llegada
22884,llegada
22892,choque
22947,choque
22954,llegada
23024,llegada
23099,timeout
23128,llegada
23203,timeout
23219,choque
23227,choque
23292,llegada
23355,llegada
23419,llegada
23494,timeout
23511,llegada
23540,llegada
23601,llegada
23660,llegada
23735,timeout
23810,timeout
23832,llegada
23907,timeout
23955,llegada
24030,timeout
24105,timeout
24117,llegada
24140,llegada
24215,timeout
24290,timeout
24326,llegada
24401,timeout
24419,llegada
24494,timeout
24513,llegada
24545,llegada
24620,timeout
24695,timeout
24742,llegada
24745,choque
24805,llegada
24880,timeout
24955,timeout
25007,llegada
25082,timeout
25157,timeout
25196,llegada
25249,llegada
25322,llegada
25397,timeout
25403,choque
25478,timeout
25553,timeout
25628,timeout
25638,choque
25641,choque
25716,timeout
25791,timeout
25808,llegada
25875,llegada
25950,timeout
26004,llegada
26079,timeout
26139,llegada
26178,choque
26253,timeout
26260,choque
26335,timeout
26348,choque
26423,timeout
26498,timeout
26572,choque
26647,timeout
26696,llegada
26703,llegada
26733,llegada
26808,timeout
26883,timeout
26920,llegada
26970,llegada
27045,timeout
27061,llegada
27136,timeout
27178,llegada
27230,choque
27305,timeout
27380,timeout
27446,llegada
27521,timeout
27548,llegada
27623,timeout
27698,timeout
27773,timeout
27848,timeout
27889,llegada
27959,llegada
27997,choque
