#{"t_start": 1749572939.148941, "env_id": "None"}
r,l,t
0.0,200,153.878926
0.0,200,157.570632
0.0,200,161.028335
0.0,200,164.43336
0.0,200,167.722301
0.0,200,331.113872
100.0,99,332.756392
0.0,200,336.050359
0.0,200,339.310184
0.0,200,342.574855
0.0,200,511.023855
0.0,200,515.32041
100.0,168,518.440247
0.0,200,521.886608
0.0,200,525.340999
0.0,200,718.554938
0.0,200,722.646644
0.0,200,726.484212
0.0,200,730.29962
100.0,44,731.163818
100.0,64,926.007642
100.0,37,926.730798
100.0,69,928.2921
0.0,200,932.582936
100.0,35,933.319674
0.0,200,1125.277964
0.0,200,1128.760547
100.0,18,1129.078014
100.0,29,1129.58687
100.0,48,1130.429656
100.0,48,1312.336141
100.0,139,1314.882722
100.0,21,1315.261851
100.0,38,1315.930656
0.0,200,1319.456508
100.0,59,1507.849893
0.0,200,1511.661567
100.0,72,1513.057424
100.0,50,1514.037158
100.0,14,1514.289417
100.0,17,1697.096936
100.0,91,1698.779377
0.0,200,1702.400577
100.0,74,1703.690202
100.0,14,1703.935738
100.0,27,1891.481074
100.0,45,1892.32352
100.0,64,1893.50332
100.0,78,1894.868388
100.0,138,1897.374766
100.0,67,2103.534252
100.0,44,2104.493131
100.0,35,2105.251421
100.0,36,2106.033233
100.0,62,2107.450929
100.0,67,2319.572224
100.0,37,2320.361759
100.0,64,2321.748919
0.0,200,2325.97269
100.0,87,2327.705405
100.0,47,2541.591855
100.0,64,2543.005783
100.0,56,2544.184713
100.0,23,2544.732571
100.0,82,2546.422379
-100.0,52,2748.734774
100.0,8,2748.889759
100.0,70,2750.226517
100.0,54,2751.296289
100.0,67,2752.492825
100.0,7,2943.367762
100.0,102,2945.104941
100.0,60,2946.121825
100.0,7,2946.247208
100.0,40,2946.92698
9
100.0,85,208.272312
0.0,200,211.23513
-100.0,3,211.287712
0.0,200,214.312366
0.0,200,217.267965
100.0,80,218.47032
0.0,200,221.487442
0.0,200,224.536945
100.0,109,226.194894
100.0,94,227.64909
0.0,200,230.568565
100.0,87,231.870332
0.0,200,234.749465
100.0,135,238.420411
0.0,200,241.39255
0.0,200,244.364336
0.0,200,247.310555
0.0,200,250.26863
0.0,200,253.307288
100.0,7,253.418829
100.0,13,253.646741
0.0,200,256.77805
0.0,200,260.061572
100.0,32,260.567016
0.0,200,263.569164
100.0,164,266.075318
100.0,97,267.550891
-100.0,4,267.615557
0.0,200,272.286298
0.0,200,275.294516
0.0,200,278.361142
100.0,105,280.030837
100.0,20,280.346544
-100.0,18,280.666992
0.0,200,283.759153
100.0,65,284.771401
100.0,93,286.258097
0.0,200,289.401415
100.0,192,292.404875
100.0,1,292.425807
0.0,200,295.366952
100.0,168,297.867797
100.0,70,298.970731
0.0,200,303.689308
0.0,200,306.720891
100.0,130,308.720119
100.0,39,309.335357
0.0,200,312.383008
0.0,200,315.457647
0.0,200,318.544311
0.0,200,321.545659
0.0,200,324.622017
100.0,74,325.797901
0.0,200,343.898959
100.0,53,344.734634
100.0,128,346.780758
0.0,200,349.920962
100.0,87,353.016686
100.0,65,354.005722
0.0,200,357.352016
100.0,137,359.452097
100.0,61,360.401179
0.0,200,363.446962
100.0,99,364.974858
-100.0,3,365.025176
0.0,200,368.063457
100.0,1,368.085482
100.0,138,370.322322
100.0,56,371.202503
100.0,60,372.150541
100.0,110,373.86764
100.0,128,375.840935
-100.0,38,376.457412
0.0,200,379.638117
100.0,122,381.552454
-100.0,4,381.617619
100.0,158,385.896946
100.0,70,387.032868
0.0,200,390.025229
0.0,200,393.055429
100.0,138,395.334189
0.0,200,398.458488
100.0,65,399.464611
100.0,56,400.314433
100.0,91,401.777013
100.0,78,403.013438
0.0,200,406.147667
0.0,200,409.13738
100.0,61,410.117142
0.0,200,413.287885
100.0,22,413.646595
0.0,200,416.770355
100.0,68,419.424727
0.0,200,422.443747
100.0,79,423.683472
100.0,34,424.229556
100.0,31,424.69468
0.0,200,427.850697
0.0,200,430.970073
100.0,187,433.904296
100.0,53,434.790564
0.0,200,437.963269
100.0,192,440.895781
100.0,70,441.954419
100.0,59,442.846257
100.0,9,442.985463
100.0,165,445.418357
100.0,115,447.183102
100.0,142,449.514349
-100.0,11,449.694479
100.0,51,450.435828
0.0,200,455.183631
