#{"t_start": 1749313503.6084454, "env_id": "None"}
r,l,t
0.0,75,228.158841
0.0,75,230.187769
0.0,75,232.17086
0.0,75,233.975054
0.0,75,235.76528
100.0,9,472.163009
0.0,75,474.277855
100.0,20,474.818867
100.0,68,476.734684
100.0,20,477.240628
100.0,39,719.447382
100.0,1,719.486474
100.0,26,720.178004
100.0,21,720.756028
100.0,39,721.738284
0.0,75,959.005184
100.0,8,959.208632
100.0,11,959.460499
100.0,13,959.750549
-100.0,3,959.823814
100.0,30,1215.473251
-100.0,6,1215.649662
100.0,15,1216.091542
100.0,18,1216.563527
100.0,6,1216.730844
100.0,7,1473.263826
100.0,14,1473.637758
100.0,15,1474.045297
100.0,21,1474.617169
100.0,19,1475.148854
100.0,8,1725.231783
100.0,19,1725.751041
100.0,10,1726.012518
100.0,20,1726.545288
100.0,21,1727.078076
100.0,15,1975.908773
100.0,17,1976.338191
100.0,9,1976.575359
100.0,12,1976.859815
100.0,16,1977.238545
100.0,7,2226.175125
100.0,2,2226.228552
100.0,6,2226.373281
100.0,7,2226.531522
100.0,17,2226.937924
100.0,8,2480.73679
100.0,10,2481.002997
100.0,12,2481.311264
100.0,8,2481.530993
100.0,13,2481.881464
.0,33,42.335117
-100.0,8,42.508384
0.0,75,44.131574
-100.0,60,48.186073
0.0,75,49.864001
-100.0,73,51.472972
0.0,75,53.210211
100.0,29,53.884813
0.0,75,55.614335
0.0,75,57.220388
-100.0,73,58.710245
100.0,1,58.736158
0.0,75,60.285385
0.0,75,61.990909
-100.0,23,62.472815
100.0,27,63.038696
0.0,75,64.61085
0.0,75,66.292846
100.0,37,67.112771
-100.0,14,67.414822
-100.0,23,67.90488
-100.0,40,68.738579
-100.0,2,68.786913
0.0,75,70.341407
100.0,23,70.835092
100.0,2,70.883315
100.0,41,71.789527
0.0,75,73.496832
-100.0,32,74.204484
-100.0,2,74.251829
-100.0,2,74.30014
0.0,75,75.867428
-100.0,9,76.078991
0.0,75,77.685622
0.0,75,79.289773
0.0,75,81.075273
0.0,75,82.713393
-100.0,6,82.851151
-100.0,19,83.293556
0.0,75,84.889475
-100.0,2,84.939378
-100.0,53,86.024716
-100.0,2,86.073597
-100.0,7,86.239639
100.0,10,86.480446
0.0,75,88.040363
0.0,75,89.592089
0.0,75,91.107854
-100.0,2,91.158576
-100.0,28,91.751792
0.0,75,95.544688
0.0,75,97.06975
0.0,75,98.624912
-100.0,3,98.698814
100.0,33,99.387107
0.0,75,100.961834
-100.0,32,101.660993
0.0,75,103.26709
-100.0,39,104.121408
0.0,75,105.723238
0.0,75,107.482456
-100.0,16,107.864166
0.0,75,109.64709
100.0,15,110.012526
-100.0,9,110.253012
-100.0,36,111.139069
-100.0,12,111.414252
0.0,75,113.037251
0.0,75,114.857928
-100.0,4,114.953658
-100.0,16,115.297895
0.0,75,116.935107
-100.0,47,118.071274
0.0,75,119.882404
-100.0,25,120.435106
0.0,75,122.081935
0.0,75,123.643557
0.0,75,125.212882
0.0,75,126.94703
0.0,75,128.535193
-100.0,4,128.625159
0.0,75,130.18267
100.0,16,130.534918
-100.0,4,130.627877
-100.0,25,131.154934
-100.0,51,132.270653
0.0,75,133.816036
-100.0,55,134.957857
-100.0,3,135.035042
100.0,56,136.188699
100.0,22,136.643996
100.0,23,137.122739
-100.0,2,137.171649
0.0,75,138.708492
0.0,75,142.649637
0.0,75,144.256818
0.0,75,145.870967
100.0,30,146.513718
100.0,30,147.130845
100.0,68,148.550556
0.0,75,150.112824
0.0,75,151.763955
0.0,75,153.377054
100.0,33,154.063348
-100.0,13,154.356587
0.0,75,155.937014
0.0,75,157.574788
-100.0,33,158.327592
0.0,75,159.886817
0.0,75,161.436702
0.0,75,163.054664
0.0,75,164.706988
100.0,9,164.90024
0.0,75,166.44092
0.0,75,168.108935
0.0,75,169.723857
-100.0,65,171.16959
0.0,75,172.919087
0.0,75,174.618577
0.0,75,176.215173
0.0,75,177.849344
100.0,41,178.723819
0.0,75,180.266404
-100.0,7,180.424968
