episode,resultado
314,choque
470,choque
497,choque
641,choque
895,choque
1301,choque
1335,llegada
1909,timeout
2138,choque
2515,llegada
2781,choque
3303,timeout
3389,choque
3492,choque
3833,choque
4137,choque
4675,timeout
5161,choque
5220,choque
5740,timeout
6090,choque
6699,choque
6877,choque
7461,timeout
7995,timeout
8526,timeout
9025,timeout
9553,timeout
10130,timeout
10728,timeout
11300,timeout
11808,llegada
12291,timeout
12925,timeout
13451,timeout
14150,timeout
14776,timeout
15362,timeout
15976,llegada
16092,choque
16678,timeout
17287,timeout
17853,timeout
18495,timeout
19078,timeout
19672,timeout
20301,timeout
20925,timeout
21438,choque
22103,timeout
22771,timeout
23442,timeout
24134,timeout
24803,timeout
25346,timeout
25908,timeout
26551,timeout
27232,timeout
27810,timeout
28114,llegada
28693,timeout
29334,timeout
29954,timeout
30548,llegada
31116,timeout
31358,choque
31981,timeout
32573,timeout
33145,timeout
33703,timeout
34304,timeout
34847,timeout
35381,timeout
35927,timeout
36464,timeout
37019,timeout
37489,timeout
38023,timeout
38197,llegada
38682,timeout
38847,llegada
39015,llegada
39354,llegada
39681,llegada
40216,timeout
40456,llegada
40976,timeout
41485,timeout
41730,llegada
42268,timeout
42798,timeout
43341,timeout
43903,timeout
44400,timeout
44883,timeout
45384,timeout
45907,timeout
46427,timeout
46964,timeout
47455,timeout
47862,llegada
48379,timeout
48890,timeout
49397,timeout
49964,timeout
50470,timeout
50652,llegada
51088,timeout
51624,timeout
52172,timeout
52581,llegada
53052,timeout
53573,timeout
54060,timeout
54518,timeout
55117,timeout
55671,timeout
55958,llegada
56492,timeout
57058,timeout
57686,timeout
58158,timeout
58701,timeout
58838,llegada
59453,timeout
60148,timeout
60305,llegada
60588,llegada
61023,llegada
61515,timeout
61981,timeout
62498,timeout
62984,timeout
63598,timeout
64187,timeout
64611,timeout
65220,timeout
65320,llegada
65338,llegada
65564,llegada
65974,timeout
66519,timeout
67011,timeout
67408,timeout
67939,timeout
67940,llegada
68471,timeout
68963,timeout
69360,timeout
69812,timeout
70341,timeout
70842,timeout
71092,llegada
71198,llegada
71672,timeout
71863,llegada
72300,timeout
72529,llegada
72931,timeout
73431,timeout
73557,llegada
74038,timeout
74483,timeout
74747,llegada
75249,timeout
75404,llegada
75928,timeout
76413,timeout
76708,llegada
76811,llegada
77404,timeout
77866,timeout
78279,timeout
78320,llegada
78609,llegada
79122,timeout
79692,timeout
80099,timeout
80569,timeout
80672,llegada
81164,timeout
81180,llegada
81181,llegada
81670,timeout
81828,llegada
82387,timeout
82881,timeout
83047,llegada
83570,timeout
84019,timeout
84589,timeout
84751,llegada
85232,timeout
85611,choque
85716,llegada
85780,llegada
86246,choque
86400,choque
86435,llegada
86902,llegada
87351,timeout
87894,timeout
88492,timeout
89040,timeout
89576,timeout
90099,llegada
90266,llegada
90748,timeout
91391,timeout
91660,llegada
92130,timeout
92386,llegada
92498,llegada
93041,timeout
93510,timeout
93989,timeout
94359,llegada
94379,llegada
94966,timeout
95456,timeout
95939,timeout
96442,timeout
96899,timeout
97035,choque
97261,llegada
97720,timeout
97989,llegada
98511,timeout
98986,timeout
99405,timeout
99682,llegada
99752,llegada
100388,timeout
100746,llegada
101178,timeout
101739,timeout
102309,timeout
102797,timeout
102820,llegada
103468,timeout
103676,llegada
103868,llegada
104027,llegada
104137,llegada
104260,llegada
104850,timeout
105423,timeout
105959,timeout
106539,timeout
106646,llegada
107196,timeout
107731,timeout
107763,llegada
107978,llegada
108038,llegada
108116,llegada
108216,llegada
108264,llegada
108464,llegada
109078,timeout
109640,timeout
109773,choque
110220,timeout
110291,llegada
110766,timeout
111152,llegada
111406,llegada
111999,timeout
112461,timeout
112687,llegada
113255,timeout
113650,llegada
113692,llegada
114128,timeout
114670,timeout
114836,llegada
114884,llegada
115367,timeout
115368,llegada
115424,llegada
115513,llegada
115997,timeout
116751,timeout
117287,timeout
117361,llegada
117507,llegada
118013,timeout
118773,timeout
119248,timeout
119842,timeout
120196,timeout
120256,llegada
120735,timeout
121283,timeout
121714,llegada
121754,llegada
122260,timeout
122462,llegada
122633,llegada
122927,llegada
123291,llegada
123375,llegada
123854,timeout
124004,choque
124468,timeout
125021,timeout
125050,llegada
125416,timeout
125527,llegada
125697,llegada
126149,timeout
126230,llegada
126898,timeout
127355,timeout
127421,llegada
127490,llegada
127998,timeout
128099,llegada
128691,timeout
128807,llegada
129497,timeout
129601,llegada
130205,timeout
130396,llegada
130735,llegada
130928,llegada
131096,llegada
